1.700000000000000000e+01,5.276464647186928687e+02,1.560606960155737966e+02
1.800000000000000000e+01,6.444973363145388703e+02,2.705745501795028645e+02
2.000000000000000000e+01,2.378563031609946847e+02,1.171104054836251009e+02
1.900000000000000000e+01,4.100165873122078324e+02,1.755358412815481586e+02
2.600000000000000000e+01,4.972652381037728446e+02,1.591767192581296797e+02
2.400000000000000000e+01,1.708618034460429556e+02,9.062420792190002317e+01
2.400000000000000000e+01,1.809888789843495829e+02,1.872209284411327133e+02
2.500000000000000000e+01,6.110000864570629346e+02,1.654087657432415028e+02
2.400000000000000000e+01,4.014475233951790756e+02,5.478994063250723912e+01
1.400000000000000000e+01,7.146078592720464258e+02,3.149778813859243201e+02
9.000000000000000000e+00,5.151823717484692224e+02,9.685625440701178945e+01
1.100000000000000000e+01,3.461381108398119864e+02,6.335900454953591066e+01
1.100000000000000000e+01,1.560606930439024609e+02,7.426508589848154429e+01
5.000000000000000000e+00,6.343702607762321577e+02,2.401933235645828688e+02
1.300000000000000000e+01,4.341657674420159765e+02,1.669667773645194018e+02
1.500000000000000000e+01,4.762320812165205552e+02,8.517116724742717793e+01
