,cond_name,exp_name,area_mean,area_sd,change_ratio_mean,change_ratio_sd
0,ctrl_1d,M1_1d-post-injury_evening_12-05-20,1047.279761904762,119.25909573864384,0.5766990938681688,0.07908983100549978
1,ctrl_5d,M1_5d-post-injury_evening_16-05-20,1112.7733333333335,121.15683301864117,0.7202698825628187,0.11939269314276942
2,ctrl_1d,M2_1d-post-injury_evening_13-05-20,1055.9907407407404,93.166906809577,0.5587205207323187,0.0737773547332811
3,ctrl_5d,M2_5d-post-injury_evening_17-05-20,1050.0982142857144,90.32010440291039,0.6749170055474434,0.1390134563393336
4,bum_5d,M3_5d-post-injury_morning_17-05-20,1205.3942307692307,235.59403134784623,0.634476705081052,0.1457882771248835
5,bum_1d,M4_1d-post-injury_morning_14-05-20,959.0,123.29007419920151,0.5115178474348369,0.08299432783832973
6,bum_5d,M4_5d-post-injury_morning_18-05-20,973.4814814814815,100.76390903248098,0.5977427979358432,0.08829095061554279
7,ctrl_1d,M64_1d-post-injury_evening_23-01-20,1215.2533333333333,217.76497171031411,0.6482403580068361,0.06967280565632647
8,bum_1d,M66_1d-post-injury_morning_23-01-20,1101.5441176470588,132.20993063339247,0.5391131115364738,0.08417012594933891
9,bum_1d,M6_1d-post-injury_evening_14-05-20,989.21875,116.16765084438507,0.5226747796412647,0.07269175233817833
10,bum_5d,M6_5d-post-injury_evening_18-05-20,909.1875000000002,94.99581408037038,0.5991919274004328,0.07360289091730089
