,hypothesis,p-value
0,ctrl_1d = bum_1d,3.668454433422633e-05
1,ctrl_5d = bum_5d,0.0022113692809786075
2,ctrl_1d = ctrl_5d,0.0003240285102523219
3,bum_1d = bum_5d,1.2186028616783647e-06
