,cond_name,exp_name,cell_id,area_mean,area_sd,change_ratio_mean,change_ratio_sd
0,ctrl_1d,M1_1d-post-injury_evening_12-05-20,0,1314.0,70.03808487768161,0.42224204711118013,0.06096718502481036
1,ctrl_1d,M1_1d-post-injury_evening_12-05-20,1,1294.9166666666667,124.15947965777278,0.5739136217106512,0.07504851652947503
2,ctrl_1d,M1_1d-post-injury_evening_12-05-20,2,1294.5,194.4682921883839,0.5615372892541602,0.09109777657243033
3,ctrl_1d,M1_1d-post-injury_evening_12-05-20,3,849.5,75.4293267458575,0.5256128777706833,0.044617666329261486
4,ctrl_1d,M1_1d-post-injury_evening_12-05-20,4,925.0,130.83450105636,0.5735091367545307,0.09969717815532528
5,ctrl_1d,M1_1d-post-injury_evening_12-05-20,5,1030.75,166.57637137361348,0.5925241911705107,0.10466059450168226
6,ctrl_1d,M1_1d-post-injury_evening_12-05-20,6,1235.0,175.44229820656136,0.645677260773716,0.09005636784098733
7,ctrl_1d,M1_1d-post-injury_evening_12-05-20,7,1011.75,115.43477595594838,0.6035741526863179,0.09609901494765315
8,ctrl_1d,M1_1d-post-injury_evening_12-05-20,8,955.5,148.02618011689688,0.6589022339661296,0.08550862064745038
9,ctrl_1d,M1_1d-post-injury_evening_12-05-20,9,946.4166666666666,80.00047742913094,0.5669536215803075,0.04571907855040704
10,ctrl_1d,M1_1d-post-injury_evening_12-05-20,10,1279.9166666666667,90.38755291643989,0.6034769129099042,0.06546374214037305
11,ctrl_1d,M1_1d-post-injury_evening_12-05-20,11,929.3333333333334,105.79566258699938,0.5446829599450583,0.07307988998784426
12,ctrl_1d,M1_1d-post-injury_evening_12-05-20,12,859.5,104.72066017107926,0.6386687444964569,0.07997875583435675
13,ctrl_1d,M1_1d-post-injury_evening_12-05-20,13,735.8333333333334,88.31367705828784,0.5625122640247554,0.09526324701494025
14,ctrl_5d,M1_5d-post-injury_evening_16-05-20,0,1035.6,59.711305462198695,0.665349374157028,0.047571261087451314
15,ctrl_5d,M1_5d-post-injury_evening_16-05-20,1,1124.6,115.7179329231213,0.7479306205239791,0.062253797452497824
16,ctrl_5d,M1_5d-post-injury_evening_16-05-20,2,730.2,68.73834446653484,0.665451032450461,0.0531005356999547
17,ctrl_5d,M1_5d-post-injury_evening_16-05-20,3,1083.8,63.907433057509046,0.8722901366287001,0.059657096584969774
18,ctrl_5d,M1_5d-post-injury_evening_16-05-20,4,849.0,77.4312598373551,0.7807514874181786,0.05680403328362391
19,ctrl_5d,M1_5d-post-injury_evening_16-05-20,5,1308.6,113.4523688602402,0.6246409108122989,0.025047941335355605
20,ctrl_5d,M1_5d-post-injury_evening_16-05-20,6,1334.0,64.45153217728807,0.661803628526159,0.03355314492719977
21,ctrl_5d,M1_5d-post-injury_evening_16-05-20,7,729.0,441.95384374389147,1.2813553094791215,0.8603378209217403
22,ctrl_5d,M1_5d-post-injury_evening_16-05-20,8,1049.2,67.15474666767793,0.6338193336174645,0.05016947777486686
23,ctrl_5d,M1_5d-post-injury_evening_16-05-20,9,1291.0,75.3684284034104,0.5662911315839019,0.05837045693262333
24,ctrl_5d,M1_5d-post-injury_evening_16-05-20,10,1066.0,53.940708189640965,0.6421484447176344,0.12341731068856275
25,ctrl_5d,M1_5d-post-injury_evening_16-05-20,11,1140.0,100.95741676568393,0.7143069849787853,0.09618922519554157
26,ctrl_5d,M1_5d-post-injury_evening_16-05-20,12,1083.2,174.42637415253463,0.6523987517617852,0.14059373701317726
27,ctrl_5d,M1_5d-post-injury_evening_16-05-20,13,1611.6,227.14805744271732,0.5805889802008335,0.046807303593556955
28,ctrl_5d,M1_5d-post-injury_evening_16-05-20,14,1255.8,112.99274312981343,0.7149221115859491,0.07701725465041914
29,ctrl_1d,M2_1d-post-injury_evening_13-05-20,0,992.9166666666666,101.70910999293798,0.6200695916328373,0.0927567714663288
30,ctrl_1d,M2_1d-post-injury_evening_13-05-20,1,1240.0833333333333,92.93587245455271,0.525989554387002,0.056155584542075816
31,ctrl_1d,M2_1d-post-injury_evening_13-05-20,2,922.0833333333334,52.144763772491,0.5673389002126034,0.06169747173860514
32,ctrl_1d,M2_1d-post-injury_evening_13-05-20,3,863.9166666666666,94.01547597189636,0.5117208989847579,0.06910718631889783
33,ctrl_1d,M2_1d-post-injury_evening_13-05-20,4,1237.0,69.46221994724903,0.43056626626352057,0.039759287655220424
34,ctrl_1d,M2_1d-post-injury_evening_13-05-20,5,1156.75,75.42007358787181,0.5563564527647434,0.05362765280700049
35,ctrl_1d,M2_1d-post-injury_evening_13-05-20,6,1251.0833333333333,131.0912267172072,0.4887672173580833,0.06308781416537408
36,ctrl_1d,M2_1d-post-injury_evening_13-05-20,7,996.75,141.56513518518605,0.5710176118056416,0.09070634300842242
37,ctrl_1d,M2_1d-post-injury_evening_13-05-20,8,880.0833333333334,62.08791929370981,0.5331753864859755,0.04987217992794617
38,ctrl_1d,M2_1d-post-injury_evening_13-05-20,9,1231.5,64.76817634198656,0.6503404070690437,0.07771659721628704
39,ctrl_1d,M2_1d-post-injury_evening_13-05-20,10,900.4166666666666,113.4625182849189,0.4932390033498542,0.06877409938769305
40,ctrl_1d,M2_1d-post-injury_evening_13-05-20,11,1023.25,123.99873991295235,0.5538306660738767,0.1184803882697346
41,ctrl_1d,M2_1d-post-injury_evening_13-05-20,12,1196.9166666666667,104.08206564480207,0.6162459120572091,0.08631130341424745
42,ctrl_1d,M2_1d-post-injury_evening_13-05-20,13,832.1666666666666,91.67590862501567,0.5627154565691955,0.0713956161934801
43,ctrl_1d,M2_1d-post-injury_evening_13-05-20,14,1149.5,70.6994813748069,0.5161524117785778,0.08943227453056894
44,ctrl_1d,M2_1d-post-injury_evening_13-05-20,15,1138.25,115.02979686440669,0.6090419826180101,0.10425639787983249
45,ctrl_1d,M2_1d-post-injury_evening_13-05-20,16,963.8333333333334,99.32088848217624,0.6749881276236054,0.08530296702694645
46,ctrl_1d,M2_1d-post-injury_evening_13-05-20,17,1031.3333333333333,73.53495011821855,0.5754135261471989,0.049552449650398414
47,ctrl_5d,M2_5d-post-injury_evening_17-05-20,0,1567.857142857143,112.07450146019396,0.6531405269361564,0.1095690714269284
48,ctrl_5d,M2_5d-post-injury_evening_17-05-20,1,1371.857142857143,124.56946263193144,0.5044544440497892,0.04399146619614452
49,ctrl_5d,M2_5d-post-injury_evening_17-05-20,2,875.4285714285714,49.178558460419495,0.6566759336953379,0.09550355909943434
50,ctrl_5d,M2_5d-post-injury_evening_17-05-20,3,713.7142857142857,83.5082789492229,0.7664046195956064,0.08133849854136838
51,ctrl_5d,M2_5d-post-injury_evening_17-05-20,4,770.2857142857143,86.10079522731198,0.8461000410279199,0.10028165883212377
52,ctrl_5d,M2_5d-post-injury_evening_17-05-20,5,966.5714285714286,95.2768254581761,0.6864350058284843,0.08241348217011128
53,ctrl_5d,M2_5d-post-injury_evening_17-05-20,6,657.7142857142857,99.12865274943653,0.6880146378056606,0.05876421284405832
54,ctrl_5d,M2_5d-post-injury_evening_17-05-20,7,832.7142857142857,50.2443011287685,0.7071813021708477,0.17771360740701644
55,ctrl_5d,M2_5d-post-injury_evening_17-05-20,8,1747.5714285714287,151.77413401203134,0.6050129624292845,0.07047237034938664
56,ctrl_5d,M2_5d-post-injury_evening_17-05-20,9,922.7142857142857,55.587034165774114,0.632067001484813,0.11470652329366612
57,ctrl_5d,M2_5d-post-injury_evening_17-05-20,10,1634.857142857143,46.926777526052135,0.41280954334337583,0.038726655258605754
58,ctrl_5d,M2_5d-post-injury_evening_17-05-20,11,1086.857142857143,50.266229991426854,0.6194774631669637,0.053021900139169076
59,ctrl_5d,M2_5d-post-injury_evening_17-05-20,12,1305.4285714285713,85.40300620814091,0.5566400410887254,0.06913438010993175
60,ctrl_5d,M2_5d-post-injury_evening_17-05-20,13,718.7142857142857,39.11782306868128,0.6206084666874043,0.0464545247750645
61,ctrl_5d,M2_5d-post-injury_evening_17-05-20,14,797.5714285714286,216.4181515643515,1.141487217071334,0.9877605960310888
62,ctrl_5d,M2_5d-post-injury_evening_17-05-20,15,831.7142857142857,99.54713784464737,0.7021628823773908,0.09436279495523925
63,bum_5d,M3_5d-post-injury_morning_17-05-20,0,1044.25,187.51249958336112,0.8241154610647907,0.18126783138124133
64,bum_5d,M3_5d-post-injury_morning_17-05-20,1,1611.5,171.02704464499175,0.6585276206196465,0.11481790509032395
65,bum_5d,M3_5d-post-injury_morning_17-05-20,2,865.625,108.63348643489263,0.5680540495699002,0.04687723822760275
66,bum_5d,M3_5d-post-injury_morning_17-05-20,3,905.875,143.22049216156185,0.686481274513944,0.08400881448680313
67,bum_5d,M3_5d-post-injury_morning_17-05-20,4,1370.125,180.03641124783618,0.5391346367732799,0.08917031113539677
68,bum_5d,M3_5d-post-injury_morning_17-05-20,5,1234.0,218.13929036283216,0.6862512147559177,0.09159530800459154
69,bum_5d,M3_5d-post-injury_morning_17-05-20,6,710.375,115.37757310240148,0.68695905541569,0.13060434170244128
70,bum_5d,M3_5d-post-injury_morning_17-05-20,7,1301.625,171.6179896601752,0.608025665967012,0.09476387353629513
71,bum_5d,M3_5d-post-injury_morning_17-05-20,8,1553.5,722.1758788550057,0.4487063274622952,0.5555361893331296
72,bum_5d,M3_5d-post-injury_morning_17-05-20,9,1298.375,194.38553026138544,0.5510179125037887,0.10816250043198225
73,bum_5d,M3_5d-post-injury_morning_17-05-20,10,1240.75,445.6085024996718,0.6481504876632262,0.26724711903713294
74,bum_5d,M3_5d-post-injury_morning_17-05-20,11,1618.75,255.4025009666115,0.6719957368119235,0.07994164974998154
75,bum_5d,M3_5d-post-injury_morning_17-05-20,12,915.375,149.58520774127368,0.6707777229322623,0.05125452050656314
76,bum_1d,M4_1d-post-injury_morning_14-05-20,0,910.0833333333334,138.58358388431952,0.5999514657368773,0.07203481800154686
77,bum_1d,M4_1d-post-injury_morning_14-05-20,1,968.25,126.59260444433554,0.6858777210571764,0.1056512303124526
